 	O
补	B-DRUG_EFFICACY
气	I-DRUG_EFFICACY
养	I-DRUG_EFFICACY
血	E-DRUG_EFFICACY
、	O
调	O
经	O
止	O
带	O
，	O
用	O
于	O
月	B-SYMPTOM
经	I-SYMPTOM
不	I-SYMPTOM
调	E-SYMPTOM
、	O
经	B-SYMPTOM
期	I-SYMPTOM
腹	I-SYMPTOM
痛	E-SYMPTOM
 	O
 	O
非	O
处	O
方	O
药	O
物	O
（	O
甲	O
类	O
）	O
,	O
国	O
家	O
基	O
本	O
药	O
物	O
目	O
录	O
（	O
2	O
0	O
1	O
2	O
）	O
 	O
 	O
如	O
果	O
服	O
用	O
任	O
何	O
其	O
他	O
药	O
品	O
请	O
告	O
知	O
医	O
师	O
或	O
药	O
师	O
，	O
包	O
括	O
任	O
何	O
从	O
药	O
房	O
、	O
超	O
市	O
或	O
保	O
健	O
品	O
商	O
店	O
购	O
买	O
的	O
非	O
处	O
方	O
药	O
品	O
。	O
 	O
本	O
药	O
内	O
所	O
含	O
人	B-DRUG_INGREDIENT
参	E-DRUG_INGREDIENT
、	O
白	B-DRUG_INGREDIENT
芍	E-DRUG_INGREDIENT
，	O
反	B-DRUG_INGREDIENT
藜	I-DRUG_INGREDIENT
芦	E-DRUG_INGREDIENT
，	O
忌	O
与	O
含	B-DRUG_INGREDIENT
藜	I-DRUG_INGREDIENT
芦	E-DRUG_INGREDIENT
的	O
药	O
物	O
同	O
用	O
。	O
 	O
本	O
药	O
内	O
所	O
含	O
甘	B-DRUG_INGREDIENT
草	E-DRUG_INGREDIENT
，	O
反	B-DRUG_INGREDIENT
甘	I-DRUG_INGREDIENT
遂	E-DRUG_INGREDIENT
、	O
大	O
戟	O
、	O
海	B-DRUG_INGREDIENT
藻	E-DRUG_INGREDIENT
、	O
芫	B-DRUG_INGREDIENT
花	E-DRUG_INGREDIENT
，	O
忌	O
与	O
含	O
甘	B-DRUG_INGREDIENT
遂	E-DRUG_INGREDIENT
、	O
大	B-DRUG_INGREDIENT
戟	E-DRUG_INGREDIENT
、	O
海	B-DRUG_INGREDIENT
藻	E-DRUG_INGREDIENT
、	O
芫	B-DRUG_INGREDIENT
花	E-DRUG_INGREDIENT
的	O
药	O
物	O
同	O
用	O
。	O
服	O
药	O
期	O
间	O
避	O
免	O
与	O
生	B-FOOD_GROUP
冷	E-FOOD_GROUP
、	O
辛	B-FOOD_GROUP
辣	E-FOOD_GROUP
、	O
荤	B-FOOD_GROUP
腥	E-FOOD_GROUP
油	O
腻	O
、	O
不	B-FOOD_GROUP
易	I-FOOD_GROUP
消	I-FOOD_GROUP
化	E-FOOD_GROUP
食	O
品	O
同	O
用	O
，	O
戒	O
烟	O
酒	O
，	O
以	O
防	O
助	O
湿	O
化	O
热	O
，	O
加	O
重	O
病	O
情	O
。	O
服	O
药	O
期	O
间	O
不	O
宜	O
喝	O
茶	O
和	O
吃	O
萝	B-FOOD
卜	E-FOOD
，	O
不	O
宜	O
同	O
时	O
服	O
用	O
五	O
灵	O
脂	O
、	O
皂	O
荚	O
或	O
其	O
制	O
剂	O
。	O
医	O
师	O
和	O
药	O
师	O
可	O
能	O
对	O
服	O
用	O
同	O
仁	O
乌	B-DRUG
鸡	I-DRUG
白	I-DRUG
凤	I-DRUG
丸	E-DRUG
五	B-DRUG_INGREDIENT
灵	I-DRUG_INGREDIENT
脂	E-DRUG_INGREDIENT
、	O
皂	B-DRUG_INGREDIENT
荚	E-DRUG_INGREDIENT
或	O
其	O
制	O
剂	O
。	O
医	O
师	O
和	O
药	O
师	O
可	O
能	O
对	O
服	O
用	O
同	O
仁	O
乌	O
鸡	O
白	O
凤	O
丸	O
（	O
口	O
服	O
液	O
）	O
应	O
注	O
意	O
事	O
项	O
具	O
有	O
更	O
多	O
的	O
信	O
息	O
。	O
 	O
 	O
复	O
合	O
膜	O
，	O
9	O
克	O
/	O
袋	O
X	O
1	O
0	O
袋	O
/	O
盒	O
 	O
 	O
丸	O
剂	O
(	O
小	O
蜜	O
丸	O
)	O
 	O
 	O
补	B-DRUG_EFFICACY
气	I-DRUG_EFFICACY
养	I-DRUG_EFFICACY
血	E-DRUG_EFFICACY
，	O
调	O
经	O
止	O
带	O
。	O
用	O
于	O
心	B-SYMPTOM
慌	I-SYMPTOM
气	I-SYMPTOM
短	E-SYMPTOM
，	O
疲	B-SYMPTOM
乏	I-SYMPTOM
无	I-SYMPTOM
力	E-SYMPTOM
，	O
月	B-SYMPTOM
经	I-SYMPTOM
不	I-SYMPTOM
调	E-SYMPTOM
，	O
腰	B-SYMPTOM
腿	I-SYMPTOM
酸	I-SYMPTOM
软	E-SYMPTOM
，	O
白	B-SYMPTOM
带	I-SYMPTOM
量	I-SYMPTOM
多	E-SYMPTOM
儿	B-PERSON_GROUP
童	E-PERSON_GROUP
寒	B-FOOD_GROUP
凉	E-FOOD_GROUP
、	O
生	B-FOOD_GROUP
冷	E-FOOD_GROUP
食	O
物	O
。	O
 	O
2	O
、	O
服	O
药	O
期	O
间	O
不	O
宜	O
喝	O
茶	O
和	O
吃	O
萝	O
卜	O
，	O
不	O
宜	O
同	O
时	O
服	O
用	O
藜	O
芦	O
、	O
五	O
灵	O
脂	O
、	O
皂	O
荚	O
或	O
其	O
制	O
剂	O
。	O
 	O
　	O
　	O
3	O
、	O
感	B-DISEASE
冒	E-DISEASE
时	O
不	O
宜	O
服	O
用	O
本	O
药	O
。	O
 	O
　	O
　	O
4	O
、	O
月	O
经	O
过	O
多	O
 	O
孕	B-PERSON_GROUP
妇	E-PERSON_GROUP
忌	O
服	O
。	O
 	O
 	O
黑	O
褐	O
色	O
至	O
黑	O
色	O
的	O
小	B-DRUG_DOSAGE
蜜	I-DRUG_DOSAGE
丸	E-DRUG_DOSAGE
；	O
味	B-DRUG_TASTE
甜	E-DRUG_TASTE
，	O
微	B-DRUG_TASTE
苦	E-DRUG_TASTE
。	O
 	O
 	O
北	O
京	O
御	O
生	O
堂	O
集	O
团	O
石	O
家	O
庄	O
制	O
药	O
有	O
限	O
公	O
司	O
 	O
 	O
具	O
有	O
促	O
进	O
造	B-DRUG_EFFICACY
血	E-DRUG_EFFICACY
和	O
止	B-DRUG_EFFICACY
血	E-DRUG_EFFICACY
作	O
用	O
。	O
本	O
品	O
能	O
促	O
进	O
环	O
磷	O
酰	O
胺	O
所	O
致	O
白	O
细	O
胞	O
总	O
数	O
下	O
降	O
的	O
恢	O
复	O
，	O
提	O
高	O
失	O
血	O
小	O
鼠	O
的	O
血	O
红	O
蛋	O
白	O
含	O
量	O
，	O
缩	O
短	O
小	O
鼠	O
出	O
血	O
时	O
间	O
和	O
血	O
浆	O
复	O
钙	O
时	O
间	O
。	O
 	O
具	O
有	O
雌	O
激	O
素	O
样	O
作	O
用	O
。	O
本	O
品	O
可	O
增	O
加	O
雌	O
鼠	O
子	O
宫	O
重	O
量	O
，	O
增	O
高	O
大	O
鼠	O
子	O
宫	O
指	O
数	O
和	O
雌	O
二	O
醇	O
含	O
量	O
，	O
动	O
物	O
出	O
现	O
动	O
情	O
期	O
的	O
比	O
率	O
增	O
多	O
。	O
 	O
具	O
有	O
保	B-DRUG_EFFICACY
肝	E-DRUG_EFFICACY
作	O
用	O
。	O
本	O
品	O
可	O
拮	O
抗	O
D	O
-	O
氨	O
基	O
半	O
乳	O
糖	O
所	O
致	O
的	O
急	O
性	O
肝	O
损	O
伤	O
大	O
鼠	O
谷	O
丙	O
转	O
氨	O
酶	O
和	O
谷	O
草	O
转	O
氨	O
酶	O
值	O
的	O
升	O
高	O
；	O
增	O
加	O
四	O
氯	O
化	O
碳	O
所	O
致	O
慢	O
性	O
肝	O
损	O
害	O
大	O
鼠	O
的	O
总	O
蛋	O
白	O
和	O
白	O
蛋	O
白	O
含	O
量	O
。	O
 	O
具	O
有	O
增	B-DRUG_EFFICACY
强	I-DRUG_EFFICACY
免	I-DRUG_EFFICACY
疫	E-DRUG_EFFICACY
作	O
用	O
。	O
本	O
品	O
能	O
提	O
高	O
正	O
常	O
小	O
鼠	O
对	O
血	O
中	O
碳	O
粒	O
的	O
清	O
除	O
速	O
度	O
和	O
抗	O
体	O
形	O
成	O
细	O
胞	O
的	O
量	O
，	O
促	O
进	O
B	O
细	O
胞	O
受	O
抗	O
原	O
刺	O
激	O
后	O
的	O
分	O
